Date,PlayerName,GIDP,playerid,Opp,Team,HomeAway,IP,H,R,ER,HR,BB,IBB,WP,BK,SO
2022-04-19,Max Fried,1,13743,@LAD,ATL,A,7,2,0,0,0,0,0,0,0,8
2022-04-26,Max Fried,1,13743,CHC,ATL,H,6,4,1,1,1,0,0,1,0,4
2022-04-09,Kevin Gausman,1,14107,TEX,TOR,H,5,8,3,3,0,0,0,0,0,5
2022-04-21,Kevin Gausman,2,14107,@BOS,TOR,A,8,7,1,1,0,0,0,0,0,8
2022-04-09,Kyle Gibson,1,10123,OAK,PHI,H,7,2,0,0,0,0,0,0,0,10
2022-04-14,Kyle Gibson,1,10123,@MIA,PHI,A,4.2,5,4,4,1,3,0,0,0,6
2022-04-25,Kyle Gibson,1,10123,COL,PHI,H,5.2,3,2,2,2,2,0,0,0,4
2022-04-20,Logan Gilbert,1,22250,TEX,SEA,H,6.2,6,0,0,0,0,0,0,0,4
2022-04-26,Logan Gilbert,1,22250,@TBR,SEA,A,5.2,2,0,0,0,3,0,1,0,7
2022-04-13,Josiah Gray,1,24580,@ATL,WSN,A,5,1,0,0,0,3,0,0,0,5
2022-04-07,Kyle Hendricks,1,12049,MIL,CHC,H,5.1,5,1,1,0,3,0,0,0,7
2022-04-13,Kyle Hendricks,1,12049,@PIT,CHC,A,3.2,7,6,6,1,4,0,0,0,4
2022-04-29,Kyle Hendricks,1,12049,@MIL,CHC,A,4.1,7,6,6,3,2,0,0,0,2
2022-04-30,Cole Irvin,3,19244,CLE,OAK,H,6,6,1,1,0,2,0,0,0,4
2022-04-09,Brad Keller,2,15734,CLE,KCR,H,6,2,0,0,0,1,0,0,0,5
2022-04-28,Brad Keller,2,15734,@CHW,KCR,A,7,3,1,1,1,0,0,0,0,3
2022-04-26,Mitch Keller,1,17594,MIL,PIT,H,4.2,5,4,4,1,2,0,0,0,1
2022-04-13,Merrill Kelly,1,11156,HOU,ARI,H,5.1,3,0,0,0,2,0,0,0,6
2022-04-24,Clayton Kershaw,1,2036,@SDP,LAD,A,5,4,1,1,0,0,0,0,0,3
2022-04-24,Chad Kuhl,1,14975,@DET,COL,A,6,4,1,1,0,2,0,0,0,4
2022-04-30,Chad Kuhl,1,14975,CIN,COL,H,7.1,5,3,3,2,0,0,0,0,4
2022-04-30,Eric Lauer,1,19316,CHC,MIL,H,7,5,1,1,1,1,0,0,0,11
2022-04-25,Michael Lorenzen,2,14843,CLE,LAA,H,6,3,0,0,0,4,0,0,0,3
2022-04-09,Jordan Lyles,2,7593,@TBR,BAL,A,5,7,5,5,1,3,0,0,0,2
2022-04-15,Jordan Lyles,1,7593,NYY,BAL,H,5.1,6,1,1,0,2,0,0,0,4
2022-04-13,Sean Manaea,1,15873,@SFG,SDP,A,6,4,2,2,0,2,0,0,0,6
2022-04-30,Sean Manaea,1,15873,@PIT,SDP,A,6.2,5,3,3,0,3,0,0,0,6
2022-04-17,Alek Manoah,1,26410,OAK,TOR,H,6,4,2,2,1,2,0,0,0,6
2022-04-08,Shane McClanahan,1,21483,BAL,TBR,H,4.1,4,0,0,0,2,0,0,0,7
2022-04-18,Shane McClanahan,1,21483,@CHC,TBR,A,6,4,2,1,1,0,0,1,0,9
2022-04-07,Tylor Megill,1,21318,@WSN,NYM,A,5,3,0,0,0,0,0,0,0,6
2022-04-12,Tylor Megill,1,21318,@PHI,NYM,A,5.1,3,0,0,0,0,0,0,0,5
2022-04-30,Miles Mikolas,1,9803,ARI,STL,H,7.1,4,2,2,2,0,0,0,0,7
2022-04-18,Frankie Montas,1,14309,BAL,OAK,H,6,2,1,1,0,2,0,0,0,5
2022-04-23,Frankie Montas,1,14309,TEX,OAK,H,7.1,3,2,2,0,1,0,0,0,8
2022-04-29,Frankie Montas,1,14309,CLE,OAK,H,5,5,5,5,2,4,0,0,0,6
2022-04-09,Joe Musgrove,1,12970,@ARI,SDP,A,6,5,2,2,1,0,0,0,0,8
2022-04-14,Joe Musgrove,1,12970,ATL,SDP,H,6.2,4,0,0,0,0,0,0,0,6
2022-04-13,Aaron Nola,1,16149,NYM,PHI,H,3.1,3,3,3,1,3,0,0,0,5
2022-04-29,Aaron Nola,1,16149,@NYM,PHI,A,6,7,3,3,1,0,0,0,0,9
2022-04-08,Robbie Ray,2,11486,@MIN,SEA,A,7,3,1,1,1,4,0,0,0,5
2022-04-13,Robbie Ray,2,11486,@CHW,SEA,A,6.1,10,6,6,3,2,0,1,0,4
